accx,accy,accz
7.50113,-0.25161144,-2.458893
9.532686,0.5546503,-2.9627671
11.820595,2.1620214,-3.3341365
11.491909,2.4339836,-4.5015783
10.593615,1.0640599,-5.4772344
11.791798,0.8719108,-3.1979353
15.719065,0.86866426,-3.2859173
15.749192,-0.665454,0.2654595
12.266194,-1.5484548,1.8385744
9.566522,-1.5379202,2.8586671
7.627084,-1.9863926,1.5289372
8.1656065,-2.5683272,0.56430376
10.163051,-1.6525067,0.5335814
11.596431,-0.6704148,0.2731018
11.251206,0.11671255,-0.09265561
10.57994,0.7667287,-0.8404318
9.346159,1.0436996,-1.5373744
8.295718,1.0035249,-1.7594701
7.866724,0.7832583,-1.49425
7.8334737,0.4623012,-1.5519311
7.73987,0.555675,-1.6534454
7.4952874,0.8833742,-1.6416849
7.3596897,1.3202394,-1.3779684
7.606111,1.6010314,-1.4373925
7.9974666,1.4253929,-2.083329
7.908441,1.25596,-2.6288335
7.619738,0.93125826,-2.7520201
8.21486,1.0762128,-2.4869437
9.57629,1.081528,-2.532912
11.200181,0.50088614,-2.6739979
11.458889,-0.029965827,-3.0019553
10.337818,0.23252487,-3.6928263
14.511601,-1.3674244,-1.5887156
15.694855,-0.4535863,-1.544624
12.374384,0.3054427,-0.41178355
11.608546,0.9527965,1.4658835
9.81933,2.3517668,1.2402252
9.948942,2.173485,0.12797487
11.489918,0.6043635,-1.4300472
11.750091,-0.25667757,-1.56327
10.268405,-0.07910442,-0.6635961
9.249625,-0.1811836,-0.17974709
8.438297,-0.9756564,-0.23931482
7.8192906,-1.2959431,-0.66005266
7.602232,-1.005172,-0.9968594
7.20059,-0.54532254,-0.9487742
7.303263,-0.5928905,-0.35574004
7.5083694,-0.5634227,-0.7320032
7.3354225,-0.7155024,-0.95136
7.595394,-0.68671453,-1.4147146
7.5543284,-0.5863879,-1.8708005
7.3892155,-0.6702233,-2.1732552
7.7337217,-0.49198928,-2.122431
9.410668,0.10206003,-2.368737
10.853749,0.9980852,-2.66942
11.400662,1.5403719,-4.2278633
11.001673,1.8387278,-5.5819473
10.400843,1.412081,-5.2173867
12.187004,0.6446053,-3.2230551
15.382506,-0.78967476,-2.0084383
14.285244,-1.9341606,1.3734002
11.185835,-0.81444997,3.1067638
8.992027,-0.87054133,2.2834556
8.305543,-1.8532078,0.6905452
9.819215,-1.8929611,0.2388264
11.265083,-0.980416,0.38022795
11.762205,-0.26582342,0.06798575
11.44189,-0.027389668,-0.68140894
10.49007,0.4201058,-1.2726235
9.0540285,0.69380134,-1.3700675
7.958058,0.6250686,-1.3508756
7.605833,0.47426262,-1.3138133
7.6673064,0.72377676,-1.4436079
7.603295,0.90949017,-1.4991534
7.383814,0.8773121,-1.6001121
7.2459555,0.85128236,-1.6800305
7.5723906,1.1612933,-1.8607258
7.804485,1.3412796,-1.8789982
7.902168,1.5445762,-2.4190056
7.692197,1.1306187,-2.976558
8.221258,0.9139913,-2.758896
9.437733,0.57846785,-2.2776232
11.535149,-0.21950041,-2.225851
11.80125,-0.42273942,-3.3181624
11.977635,-0.48879066,-3.1899674
15.941419,-1.4279785,-1.2472354
15.319836,-0.6656647,-1.1087644
11.6108055,0.04606444,-0.25442705
9.930871,0.9021256,0.42116883
8.061268,2.5387444,0.5591323
8.673474,2.9486222,-0.13044567
10.915702,1.7329136,-1.0765768
12.224143,0.42938572,-1.0722289
10.641326,-0.4926022,-0.20924366
9.57539,-0.8244673,0.396815
8.720239,-1.2297578,-0.059893347
8.152994,-1.2976285,-0.7982364
7.954304,-0.86221904,-1.236538
7.9846244,-0.42347682,-1.4750868
8.132596,-0.20584388,-1.1489296
7.9667063,-0.107356004,-1.4393462
7.833933,-0.39372167,-1.4108264
7.7235417,-0.7154354,-1.7102741
7.6253505,-0.74731654,-1.7629752
7.399568,-0.8088092,-1.4827195
7.1877575,-0.7452767,-1.8000278
7.8296432,-0.59790874,-1.9893613
9.4433155,0.18050367,-1.7086843
10.983909,1.1644248,-2.6582055
11.041982,1.4766095,-4.595565
10.693012,1.8553149,-5.917777
12.612195,2.216571,-3.7277625
15.235637,1.4475918,-3.5240448
14.618823,-0.6684036,0.65694976
12.5177,-2.6430166,0.93872815
10.027395,-3.3402562,2.4187088
7.9494104,-2.6934483,0.814584
8.663783,-1.6378542,0.38355112
10.167888,-0.36882198,0.56000376
10.98273,0.17554286,0.2231779
10.858049,0.021260511,-0.16191506
10.689708,0.31767228,-0.8723609
9.831253,0.409284,-1.484472
8.812616,0.5924979,-1.7687213
8.129033,0.515328,-1.6184995
7.9021587,0.2877543,-1.6009165
7.7263474,0.48082274,-1.7346853
7.6162143,0.9513792,-1.7495006
7.513685,1.4063541,-1.7462828
7.6372447,1.6798676,-1.798419
7.99377,1.7009175,-2.0354545
8.024885,1.5351429,-2.555887
7.815498,1.3302567,-3.096967
7.516845,0.8513303,-2.7586951
8.5023365,0.44129926,-2.410061
10.287731,-0.04390966,-2.3583558
11.981639,-0.24759877,-2.7655425
10.981015,0.19416976,-4.205875
12.665422,-0.65944934,-2.264187
16.461803,-0.39433458,-1.9662142
13.797449,0.49365568,-0.8982374
11.350268,0.74210674,0.41508752
