Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-0.786042213,-9.343074799,-2.230708838
-0.84855473,-9.316754341,-2.252244234
-0.838983417,-9.335896492,-2.273779631
-0.855733216,-9.316754341,-2.324328184
-0.860518873,-9.314361572,-2.362613201
-0.894018352,-9.300004005,-2.37936306
-0.896411181,-9.300004005,-2.393719912
-0.91316092,-9.26889801,-2.400898457
-0.901196837,-9.273683548,-2.417648077
-0.898804009,-9.283254623,-2.381755829
-0.908375323,-9.280861855,-2.415255308
-0.917946577,-9.302396774,-2.400898457
-0.925125063,-9.333503723,-2.360220432
-0.910768092,-9.345467567,-2.355434895
-0.905982494,-9.362217903,-2.305185556
-0.872482956,-9.37687397,-2.302792788
-0.872482956,-9.422337532,-2.230708838
-0.877268612,-9.439086914,-2.201995134
-0.874875784,-9.479764938,-2.154138565
-0.882054269,-9.510871887,-2.118246317
-0.846161902,-9.534799576,-2.063211441
-0.846161902,-9.551549911,-2.00099802
-0.855733216,-9.606584549,-1.965105653
-0.874875784,-9.635298729,-1.907677889
-0.850947559,-9.640084267,-1.881356835
-0.850947559,-9.664012909,-1.828714728
-0.872482956,-9.671191216,-1.759322882
-0.870090127,-9.695118904,-1.752144337
-0.867697299,-9.690333366,-1.742573142
-0.858126044,-9.680762291,-1.725823283
-0.841376245,-9.68315506,-1.711167336
-0.870090127,-9.656833649,-1.703988791
-0.831804991,-9.659226418,-1.737787485
-0.834197819,-9.63290596,-1.72073853
-0.843769074,-9.644869804,-1.73060894
-0.819541752,-9.616155624,-1.761715651
-0.824626505,-9.618548393,-1.797608018
-0.827019334,-9.611370087,-1.835893154
-0.831804991,-9.58265686,-1.883749604
-0.819541752,-9.565906525,-1.914856315
-0.843769074,-9.58265686,-1.967498422
-0.884447098,-9.565906525,-2.08235383
-0.877268612,-9.568299294,-2.120639086
-0.884447098,-9.561120987,-2.190030813
-0.91316092,-9.563513756,-2.276172638
-0.910768092,-9.570692062,-2.350649118
-0.898804009,-9.551549911,-2.432005167
-0.889232695,-9.539586067,-2.46071887
-0.910768092,-9.537193298,-2.503789902
-0.870090127,-9.546764374,-2.582752943
-0.882054269,-9.551549911,-2.606681108
-0.860518873,-9.527621269,-2.611466885
-0.898804009,-9.532406807,-2.652144909
-0.862911642,-9.5252285,-2.654537678
-0.855733216,-9.503693581,-2.644966364
-0.84855473,-9.527621269,-2.633002281
-0.822233677,-9.508479118,-2.587538481
-0.809970439,-9.486943245,-2.556432009
-0.79082787,-9.503693581,-2.585145712
-0.754935563,-9.503693581,-2.558824778
-0.776470959,-9.503693581,-2.534896374
-0.75972116,-9.534799576,-2.513360977
-0.731007338,-9.494122505,-2.532503605
-0.731007338,-9.467801094,-2.487040043
-0.71186471,-9.477372169,-2.479861498
-0.683150888,-9.472586632,-2.470290184
-0.673579574,-9.467801094,-2.463111877
-0.673579574,-9.439086914,-2.448754787
-0.632901609,-9.42712307,-2.412862539
-0.623330295,-9.400801659,-2.420041084
-0.613758981,-9.352646828,-2.422433853
-0.61615181,-9.36939621,-2.467897415
-0.61615181,-9.326325417,-2.506182671
-0.61615181,-9.304789543,-2.472683191
-0.589830756,-9.297611237,-2.46071887
-0.597009242,-9.252147675,-2.453540564
-0.58265233,-9.228219986,-2.472683191
-0.601794899,-9.204291344,-2.420041084
-0.58265233,-9.192327499,-2.376970291
-0.613758981,-9.144471169,-2.360220432
-0.604187727,-9.139685631,-2.34825635
-0.606580555,-9.11336422,-2.321935177
-0.597009242,-9.075078964,-2.273779631
